symbol,timestamp,open,high,low,close,volume
AMZN,2025-12-29T14:30:00+00:00,231.94,232.6,230.77,232.07,19797900
AMZN,2025-12-30T14:30:00+00:00,231.21,232.77,230.2,232.53,21910500
AMZN,2025-12-31T14:30:00+00:00,232.91,232.99,230.12,230.82,24383700
AMZN,2026-01-02T14:30:00+00:00,231.34,235.46,224.7,226.5,51456200
AMZN,2026-01-05T14:30:00+00:00,228.84,234,227.18,233.06,49733300
AMZN,2026-01-06T14:30:00+00:00,232.1,243.18,232.07,240.93,53764700
AMZN,2026-01-07T14:30:00+00:00,239.61,245.29,239.52,241.56,42236500
AMZN,2026-01-08T14:30:00+00:00,243.06,246.41,241.88,246.29,39509800
AMZN,2026-01-09T14:30:00+00:00,244.57,247.86,242.24,247.38,34560000
AMZN,2026-01-12T14:30:00+00:00,246.73,248.94,245.96,246.47,35867800
AMZN,2026-01-13T14:30:00+00:00,246.53,247.66,240.25,242.6,38371800
AMZN,2026-01-14T14:30:00+00:00,241.15,241.28,236.22,236.65,41410600
AMZN,2026-01-15T14:30:00+00:00,239.31,240.65,236.63,238.18,43003600
AMZN,2026-01-16T14:30:00+00:00,239.09,239.57,236.41,239.12,45888300
AMZN,2026-01-20T14:30:00+00:00,233.76,235.09,229.34,231,47737900
AMZN,2026-01-21T14:30:00+00:00,231.09,232.3,226.88,231.31,47276100
AMZN,2026-01-22T14:30:00+00:00,234.05,235.72,230.9,234.34,31913300
AMZN,2026-01-23T14:30:00+00:00,234.96,240.45,234.57,239.16,33778500
AMZN,2026-01-26T14:30:00+00:00,239.98,240.95,237.54,238.42,32825500
AMZN,2026-01-27T14:30:00+00:00,239.69,244.88,238.08,244.68,38029200
AMZN,2026-01-28T14:30:00+00:00,246.37,247.78,241.53,243.01,40882700
AMZN,2026-01-29T14:30:00+00:00,242.82,243,236.74,241.73,47229600
AMZN,2026-01-30T14:30:00+00:00,239.89,243.32,237.64,239.3,46585000
AMZN,2026-02-02T14:30:00+00:00,238.31,245.63,238.17,242.96,37546100
AMZN,2026-02-03T14:30:00+00:00,244.98,246.35,235.45,238.62,53831300
AMZN,2026-02-04T14:30:00+00:00,238.86,238.86,231.82,232.99,51299900
AMZN,2026-02-05T14:30:00+00:00,224.91,226.31,220.38,222.69,103509200
AMZN,2026-02-06T14:30:00+00:00,202.7,211.44,200.31,210.32,179210900
AMZN,2026-02-09T14:30:00+00:00,208.97,212.81,203.35,208.72,91178400
AMZN,2026-02-10T14:30:00+00:00,208.8,212.65,206.41,206.96,67175000
AMZN,2026-02-11T14:30:00+00:00,208.06,208.57,202.49,204.08,65545500
AMZN,2026-02-12T14:30:00+00:00,203.96,203.96,197.56,199.6,83975400
AMZN,2026-02-13T14:30:00+00:00,198.88,201.16,197.28,198.79,66321600
AMZN,2026-02-17T14:30:00+00:00,198.13,201.74,196,201.15,69879200
AMZN,2026-02-18T14:30:00+00:00,202.07,206.86,201.51,204.79,51003300
AMZN,2026-02-19T14:30:00+00:00,203.8,205.64,202.81,204.86,35669600
AMZN,2026-02-20T14:30:00+00:00,204.76,211.17,203.75,210.11,65881600
AMZN,2026-02-23T14:30:00+00:00,208.1,208.43,203.11,205.27,53581500
AMZN,2026-02-24T14:30:00+00:00,205.47,210.36,203.25,208.56,41137200
AMZN,2026-02-25T14:30:00+00:00,210.46,211.59,208.93,210.64,41346400
AMZN,2026-02-26T14:30:00+00:00,210.73,211.05,205.35,207.92,47756800
AMZN,2026-02-27T14:30:00+00:00,206.83,210.33,205.2,210,57422800
AMZN,2026-03-02T14:30:00+00:00,204.55,209.73,203.46,208.39,46001000
AMZN,2026-03-03T14:30:00+00:00,203.1,209.18,202.48,208.73,43184900
AMZN,2026-03-04T14:30:00+00:00,210.47,217.54,210.15,216.82,54731100
AMZN,2026-03-05T14:30:00+00:00,215.98,220.47,215.59,218.94,60943400
AMZN,2026-03-06T14:30:00+00:00,214.99,217.32,212.53,213.21,51152700
AMZN,2026-03-09T13:30:00+00:00,210.45,213.82,207.11,213.49,54642900
AMZN,2026-03-10T13:30:00+00:00,214.19,215.65,212.43,214.33,35678800
AMZN,2026-03-11T13:30:00+00:00,215.71,217,211.35,212.65,34199300
AMZN,2026-03-12T13:30:00+00:00,210.39,211.71,208.15,209.53,44349500
AMZN,2026-03-13T13:30:00+00:00,209.61,210.56,206.22,207.67,35662100
AMZN,2026-03-16T13:30:00+00:00,208.35,212.72,207.45,211.74,42209300
AMZN,2026-03-17T13:30:00+00:00,212.82,215.7,212.43,215.2,44969900
AMZN,2026-03-18T13:30:00+00:00,213.93,215.14,208.83,209.87,37846600
AMZN,2026-03-19T13:30:00+00:00,207.06,209.12,206.05,208.76,36440600
AMZN,2026-03-20T13:30:00+00:00,207.4,207.54,204.32,205.37,63694600
AMZN,2026-03-23T13:30:00+00:00,209.79,212.8,209.51,210.14,44277400
AMZN,2026-03-24T13:30:00+00:00,207.95,209.35,206.64,207.24,35351400
AMZN,2026-03-25T13:30:00+00:00,211.56,213.07,209.9,211.71,36388800
AMZN,2026-03-26T13:30:00+00:00,210.61,212.89,207.12,207.54,46746000
AMZN,2026-03-27T13:30:00+00:00,206.46,206.6,199.14,199.34,56009800
AMZN,2026-03-30T13:30:00+00:00,201.48,203.8,199.98,200.95,46373800
AMZN,2026-03-31T13:30:00+00:00,204.85,210.28,204.14,208.27,58470100
AMZN,2026-04-01T13:30:00+00:00,210.44,213.58,208.19,210.57,45955400
AMZN,2026-04-02T13:30:00+00:00,206.54,212.21,204.9,209.77,31453000
AMZN,2026-04-06T13:30:00+00:00,209.8,212.95,209.59,212.79,25385500
AMZN,2026-04-07T13:30:00+00:00,211.24,213.97,209.08,213.77,28154600
AMZN,2026-04-08T13:30:00+00:00,223.79,226.1,219.62,221.25,51092700
AMZN,2026-04-09T13:30:00+00:00,225.23,233.8,223.27,233.65,65964200
AMZN,2026-04-10T13:30:00+00:00,235.3,240.43,235.21,238.38,56912800
